messages,message_type
আপনি ১০০০০০ টাকা জিতেছেন। টাকা তুলতে প্রদত্ত নাম্বারে যোগাযোগ করুন। ,স্প্যাম
ফ্রি কফি পেতে চাইলে চলে আসুন আমাদের আউটলেটে ,স্প্যাম
আপনার পরীক্ষা আগামী ৫ তারিখ বনানী বিদ্যা নিকেতনে অনুষ্ঠিত হবে,হ্যাম
আপনি বায়োমেত্রিক রেজিস্ট্রেশন না করে থাকলে আজই চলে আসুন আমাদের কাস্টমার কেয়ারে,হ্যাম
মজার মজার জোকস শুনতে কল করুন ০১০০০০০০ নাম্বারে,স্প্যাম
প্রিয় মনিকা আপনি আজ ১৫ লক্ষ টাকার লটারি জিতেছেন।,স্প্যাম
আপনার বিকাশ একাউন্টটি বন্ধ করে দেয়া হবে অনুগ্রহপূর্বক বিকাশ একাউন্টটির পাসওয়ার্ড লিখে মেসেজ পাঠান এই নাম্বারটিতে।,স্প্যাম
বেইলি রোডের তঁাতের শাড়ি কুটিরে চলছে আকর্ষণীয় ডিসকাউন্ট।,হ্যাম
আমাদের ফেইসবুক অনলাইন ড্রেস গ্রুপে থাকার জন্য আপনাকে ধন্যবাদ।,হ্যাম
ফেইসবুক অহনা ড্রেস সেলস গ্রুপ থেকে ড্রেস অর্ডার করতে অগ্রিম ১৫০০ টাকা বিকাশ করুন ০১১১৭৮৩৭৫ নাম্বারে।,স্প্যাম
ইসলামী ব্যাংক এর মগবাজার শাখায় আপনার একাউন্ট এ টাকা উঠনো হয়েছে। একাউন্ট সিকিউর করতে একাউন্ট নাম্বার লিখে পাঠান এই নাম্বারে।,স্প্যাম
রোজা উপলক্ষে ইসলামী ব্যাংকে ইফতারের আয়োজন করা হয়েছে।,হ্যাম
মীনা বাজারে চলছে আকর্ষণীয় ডিসকাউন্ট অফার।,হ্যাম
মীনা বাজারে ২৬০ টাকার দেশী মুরগি ১২০ টাকায় পেতে অগ্রিম বিকাশ করুন ০১২৬৫৩৮৩ নাম্বারে।,স্প্যাম
আপনার বিকাশ একাউন্টের পাসওয়ার্ড বদলানো হয়েছে আপনার পূর্বের পাসওয়ার্ডটি লিখে মেসেজ করুন এই নাম্বারে।,স্প্যাম
সিএসসি৪৭৫ এর ক্লাসরুম ৩৩৭ থেকে ৪২৩ এ রুপান্তরিত হয়েছে।,হ্যাম
০১৬৫২৭২৫ নাম্বারে আপনার ইমেইল আর মোবাইল নাম্বার পাঠালেই পেয়ে যাচ্ছেন আকর্ষণীয় ১৬জিবি পেনড্রাইভ আর ১০০ টাকার রিচার্জ।,স্প্যাম
আপনার একাউন্টে ১৭ কোটি টাকা ট্রান্সফার করা হয়েছে। আপনি মেসেজটি পেয়েছেন এটি কনফার্ম করতে ইমেইল এড্রেস পাঠান এই নাম্বারে।,স্প্যাম
অনেকদিন অব্যবহৃত একাউন্ট থাকায় আপনার একাউন্টটি বন্ধ হয়ে যেতে পারে। পরিচিতি নিশ্চিত করতে ব্যাংকে এসে ফর্ম পূরণ করুন।,হ্যাম
